,hour,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar,date
4601,13,85.73333333333333,62.38333333333333,45.916666666666664,0.0,0.0,29.962500000000002,0.0,0.0,6.166666666666667,904.8333333333334,2022-07-14
4602,14,86.25,62.59166666666667,45.5,0.0,0.0,29.953333333333333,0.0,0.0,4.916666666666667,839.4166666666666,2022-07-14
4603,15,87.70833333333333,59.958333333333336,39.333333333333336,0.0,0.0,29.95,0.0,0.0,3.1666666666666665,514.0,2022-07-14
4604,16,88.25833333333333,60.14166666666667,39.083333333333336,0.0,0.0,29.95,0.0,0.0,2.4166666666666665,558.4166666666666,2022-07-14
4605,17,88.33333333333333,59.525,38.25,0.0,0.0,29.95,0.0,0.0,1.3333333333333333,480.4166666666667,2022-07-14
4606,18,87.85833333333333,57.041666666666664,35.416666666666664,0.0,0.0,29.954166666666666,0.0,0.0,0.5833333333333334,243.66666666666666,2022-07-14
4607,19,86.30000000000001,56.75,36.833333333333336,0.0,0.0,29.96666666666667,0.0,0.0,0.0,48.916666666666664,2022-07-14
4608,20,85.3,55.699999999999996,36.5,0.0,0.0,29.986666666666665,0.0,0.0,0.0,10.0,2022-07-14
4609,21,83.64166666666667,56.18333333333334,39.166666666666664,0.0,0.0,30.016666666666666,0.0,0.0,0.0,0.0,2022-07-14
4610,22,81.825,57.36666666666667,43.333333333333336,0.0,0.0,30.041666666666668,0.0,0.0,0.0,0.0,2022-07-14
4611,23,80.04166666666667,58.958333333333336,48.666666666666664,0.0,0.0,30.061666666666667,0.0,0.0,0.0,0.0,2022-07-14
4612,0,78.79166666666667,58.76666666666667,50.333333333333336,0.0,0.0,30.079166666666666,0.0,0.0,0.0,0.0,2022-07-15
4613,1,77.625,58.75833333333333,52.5,0.0,0.0,30.084999999999997,0.0,0.0,0.0,0.0,2022-07-15
4614,2,76.71666666666667,58.09166666666667,52.416666666666664,0.0,0.0,30.09,0.0,0.0,0.0,0.0,2022-07-15
4615,3,75.8,57.23333333333333,52.583333333333336,0.0,0.0,30.090833333333332,0.0,0.0,0.0,0.0,2022-07-15
