,date,hour,Total Passengers,Amount of Trips,Total Distance,Average Distance,Total Fares,day_of_week,Temperature,Dew_Point,Humidity,Speed,Gust,Pressure,Precip_Rate,Precip_Accum,UV,Solar
83,2022-01-03,11,5739.0,4169,12303.63,2.911412683388547,74346.97,0,29.075,9.358333333333333,43.0,0.0,0.0,30.104166666666668,0.0,0.0,0.0,38.083333333333336
84,2022-01-03,12,6286.0,4416,13423.19,2.984257447754558,80529.33,0,28.8,8.833333333333334,42.333333333333336,0.0,0.0,30.045833333333334,0.0,0.0,0.0,50.416666666666664
85,2022-01-03,13,6718.0,4760,15931.55,3.2936841017159395,92606.4,0,28.941666666666666,10.633333333333333,45.75,0.0,0.0,30.023333333333337,0.0,0.0,0.0,61.75
86,2022-01-03,14,7595.0,5305,118672.5,21.93576709796673,106708.2,0,28.633333333333336,13.141666666666666,52.0,0.0,0.0,30.026666666666667,0.0,0.0,0.0,36.666666666666664
87,2022-01-03,15,8158.0,5671,19963.55,3.4592878184023563,112269.0,0,27.900000000000002,14.733333333333334,57.333333333333336,0.0,0.0,30.040000000000003,0.0,0.0,0.0,15.5
88,2022-01-03,16,7943.0,5557,20224.63,3.566325163110563,120706.43000000001,0,27.25,12.875,54.25,0.0,0.0,30.060833333333335,0.0,0.0,0.0,5.416666666666667
89,2022-01-03,17,7357.0,5179,18460.71,3.4976714664645696,110861.75,0,27.125,10.541666666666666,49.166666666666664,0.0,0.0,30.102500000000003,0.0,0.0,0.0,0.0
90,2022-01-03,18,6776.0,4841,17249.74,3.487614233724222,101347.87,0,27.025000000000002,7.825,43.833333333333336,0.0,0.0,30.135,0.0,0.0,0.0,0.0
91,2022-01-03,19,5291.0,3738,15508.72,4.086619235836627,83342.62,0,26.883333333333336,6.641666666666667,41.5,0.0,0.0,30.1775,0.0,0.0,0.0,0.0
92,2022-01-03,20,4247.0,2938,13189.39,4.409692410565028,66846.75,0,26.21666666666667,6.55,42.666666666666664,0.0,0.0,30.2025,0.0,0.0,0.0,0.0
93,2022-01-03,21,3754.0,2584,11912.71,4.526105623100303,60634.2,0,24.933333333333334,10.325000000000001,53.333333333333336,0.0,0.0,30.221666666666664,0.0,0.0,0.0,0.0
94,2022-01-03,22,3159.0,2211,13545.74,6.001657066902968,62274.8,0,23.974999999999998,12.366666666666667,60.833333333333336,0.0,0.0,30.234166666666667,0.0,0.0,0.0,0.0
95,2022-01-03,23,2250.0,1578,10525.53,6.533538175046555,46467.92,0,23.518181818181816,12.590909090909092,62.63636363636363,0.0,0.0,30.25,0.0,0.0,0.0,0.0
96,2022-01-04,0,1286.0,939,6444.25,6.726774530271399,27717.9,1,23.358333333333334,12.125,62.083333333333336,0.0,0.0,30.268333333333334,0.0,0.0,0.0,0.0
97,2022-01-04,1,652.0,473,3343.06,6.95022869022869,14647.039999999999,1,22.34166666666667,11.391666666666666,62.083333333333336,0.0,0.0,30.298333333333332,0.0,0.0,0.0,0.0
98,2022-01-04,2,346.0,251,1447.43,5.6540234375,6524.15,1,21.71666666666667,8.358333333333333,55.916666666666664,0.0,0.0,30.323333333333334,0.0,0.0,0.0,0.0
99,2022-01-04,3,297.0,197,1485.9,7.319704433497537,6178.16,1,20.958333333333332,7.4750000000000005,55.5,0.0,0.0,30.34,0.0,0.0,0.0,0.0
100,2022-01-04,4,257.0,181,1220.3,6.226020408163265,5700.86,1,20.566666666666666,6.95,55.083333333333336,0.0,0.0,30.360833333333332,0.0,0.0,0.0,0.0
101,2022-01-04,5,554.0,422,2436.29,5.413977777777777,11682.59,1,19.933333333333334,7.2250000000000005,57.083333333333336,0.0,0.0,30.389166666666668,0.0,0.0,0.0,0.0
102,2022-01-04,6,1770.0,1370,6928.0199999999995,4.865182584269663,32940.54,1,20.0,7.816666666666666,58.5,0.0,0.0,30.409166666666668,0.0,0.0,0.0,0.0
103,2022-01-04,7,3842.0,2860,10402.46,3.4989774638412374,57287.26,1,20.733333333333334,9.183333333333334,60.416666666666664,0.0,0.0,30.424166666666668,0.0,0.0,0.0,26.25
104,2022-01-04,8,5155.0,3905,10779.67,2.6728663525911234,68965.78,1,21.45,9.566666666666666,59.5,0.0,0.0,30.4475,0.0,0.0,0.0,170.83333333333334
105,2022-01-04,9,5388.0,4049,12571.25,3.0438861985472156,76234.87,1,23.458333333333332,10.366666666666667,56.75,0.0,0.0,30.458333333333332,0.0,0.0,0.5833333333333334,313.6666666666667
106,2022-01-04,10,5663.0,4188,12628.91,2.9631417175035195,75757.21,1,26.583333333333332,10.808333333333332,50.916666666666664,0.0,0.0,30.450833333333332,0.0,0.0,1.0,411.25
107,2022-01-04,11,5809.0,4338,12933.1,2.9340063520871142,78573.85,1,30.45,10.891666666666666,43.666666666666664,0.0,0.0,30.4225,0.0,0.0,1.0,455.9166666666667
108,2022-01-04,12,6202.0,4534,13463.02,2.918495556037286,82194.07,1,32.416666666666664,13.358333333333334,44.833333333333336,0.0,0.0,30.382499999999997,0.0,0.0,1.0,452.5833333333333
109,2022-01-04,13,6329.0,4540,14562.33,3.1486118918918917,85939.78,1,34.43333333333333,14.258333333333333,42.916666666666664,0.0,0.0,30.368333333333336,0.0,0.0,1.0,396.6666666666667
110,2022-01-04,14,7176.0,5096,16538.47,3.1823109486242065,98683.66,1,34.15833333333334,14.083333333333334,43.25,0.0,0.0,30.37,0.0,0.0,0.4166666666666667,289.3333333333333
111,2022-01-04,15,7949.0,5568,19254.64,3.3940842587696105,109434.26,1,34.43333333333333,15.025,44.5,0.0,0.0,30.366666666666664,0.0,0.0,0.0,150.58333333333334
112,2022-01-04,16,7396.0,5316,18468.67,3.4163281539030703,114027.53,1,34.34166666666667,14.933333333333332,44.416666666666664,0.0,0.0,30.37,0.0,0.0,0.0,18.333333333333332
113,2022-01-04,17,7448.0,5395,17085.98,3.1065418181818183,107662.33,1,33.641666666666666,15.508333333333333,46.916666666666664,0.0,0.0,30.374166666666667,0.0,0.0,0.0,0.0
114,2022-01-04,18,7310.0,5243,17106.12,3.1997979797979794,104126.33,1,33.5,16.508333333333333,49.416666666666664,0.0,0.0,30.37,0.0,0.0,0.0,0.0
115,2022-01-04,19,5448.0,3886,13156.64,3.3207067137809188,77815.55,1,34.19166666666667,16.333333333333332,47.666666666666664,0.0,0.0,30.37,0.0,0.0,0.0,0.0
116,2022-01-04,20,4376.0,3118,12944.56,4.097676479898702,67099.9,1,33.86666666666667,17.650000000000002,51.083333333333336,0.0,0.0,30.35666666666667,0.0,0.0,0.0,0.0
117,2022-01-04,21,4105.0,2816,11350.4,3.96174520069808,59833.83,1,33.18333333333333,18.466666666666665,54.416666666666664,0.0,0.0,30.34,0.0,0.0,0.0,0.0
118,2022-01-04,22,3773.0,2563,11509.21,4.421517479830964,58263.26,1,32.583333333333336,19.241666666666667,57.583333333333336,0.0,0.0,30.334166666666665,0.0,0.0,0.0,0.0
119,2022-01-04,23,2589.0,1805,10860.24,5.905513866231647,48830.3,1,32.016666666666666,20.25,61.5,0.0,0.0,30.314166666666665,0.0,0.0,0.0,0.0
120,2022-01-05,0,1563.0,1081,6604.78,5.93955035971223,29356.39,2,31.900000000000002,20.508333333333333,62.25,0.0,0.0,30.285,0.0,0.0,0.0,0.0
121,2022-01-05,1,661.0,471,2542.37,5.285592515592516,12345.78,2,32.4,19.566666666666666,58.666666666666664,0.0,0.0,30.25916666666667,0.0,0.0,0.0,0.0
122,2022-01-05,2,413.0,296,1819.96,6.02635761589404,8244.9,2,32.85,23.241666666666664,67.25,0.0,0.0,30.234166666666667,0.0,0.0,0.0,0.0
123,2022-01-05,3,218.0,160,866.41,5.250969696969697,3935.53,2,33.28333333333333,24.766666666666666,70.75,0.0,0.0,30.209166666666665,0.0,0.0,0.0,0.0
124,2022-01-05,4,283.0,197,1085.18,5.372178217821783,5408.55,2,33.375,24.825,70.5,0.0,0.0,30.168333333333333,0.0,0.0,0.0,0.0
125,2022-01-05,5,640.0,481,3032.09,5.945274509803922,13981.45,2,34.0,25.708333333333332,71.41666666666667,0.0,0.0,30.126666666666665,0.0,0.0,0.0,0.0
126,2022-01-05,6,1627.0,1308,5594.98,4.077973760932944,29091.13,2,34.708333333333336,28.916666666666668,79.25,0.0,0.0,30.096666666666664,0.020833333333333332,0.021666666666666667,0.0,0.0
127,2022-01-05,7,3809.0,2937,203029.56999999998,66.17652216427639,56652.83,2,34.99166666666667,30.55,83.83333333333333,0.0,0.0,30.0625,0.03333333333333333,0.05333333333333334,0.0,1.75
128,2022-01-05,8,5169.0,3902,11448.35,2.8149373002212936,71756.1,2,35.86666666666667,32.475,87.25,0.0,0.0,30.027500000000003,0.05666666666666667,0.10666666666666667,0.0,45.0
129,2022-01-05,9,5650.0,4260,11677.22,2.6776473285943587,74322.31,2,37.28333333333334,34.21666666666667,88.58333333333333,0.0,0.0,30.012500000000003,0.04,0.14416666666666667,0.0,42.916666666666664
130,2022-01-05,10,6071.0,4553,12276.97,2.6430505920344456,79624.78,2,39.375,36.425000000000004,89.0,0.0,0.0,29.9825,0.013333333333333334,0.155,0.0,46.333333333333336
131,2022-01-05,11,6272.0,4620,12249.23,2.6012380547887024,81456.66,2,40.06666666666667,37.041666666666664,89.0,0.0,0.0,29.936666666666667,0.0175,0.17166666666666666,0.0,64.5
132,2022-01-05,12,5866.0,4345,11754.3,2.654539295392954,76491.44,2,41.541666666666664,38.31666666666667,88.16666666666667,0.0,0.0,29.878333333333334,0.04,0.20916666666666664,0.16666666666666666,74.33333333333333
133,2022-01-05,13,6123.0,4454,13990.02,3.0727037118383485,83643.58,2,43.28333333333333,40.050000000000004,88.16666666666667,0.0,0.0,29.834999999999997,0.0016666666666666668,0.21,0.0,95.66666666666667
134,2022-01-05,14,7012.0,4995,17004.32,3.3361428291151656,96813.75,2,44.425000000000004,41.36666666666667,89.0,0.0,0.0,29.799166666666665,0.0,0.21,0.0,74.41666666666667
135,2022-01-05,15,7279.0,5229,17476.01,3.273274021352313,101373.21,2,45.85833333333333,42.699999999999996,88.66666666666667,0.0,0.0,29.789166666666663,0.0,0.21,0.0,45.25
